record_id,date,property,description,amount_krw,card_type,posted_by,has_image,image_count,image_names,raw_body
3877009612,2024-10-01,BS,스탭식대,22000,Hyun Card (Debit),Gaya,TRUE,1,20241001_205459.jpg,2024년10월1일 스탭식대 22000원 현카
3877033011,2024-10-01,BS,사무실_온라인마케팅업무지원기기,1566000,Samsung Card,Gaya,TRUE,1,사무실_다니엘업무pc.jpg,2024년10월1일 사무실_온라인마케팅업무지원기기_1566000원 삼카
3877403228,2024-10-02,BS,유료 구인광고,120000,Hyun Card (Debit),Gaya,TRUE,1,tempFileForShare_20241002-095606.jpg,2024년10월2일 유료 구인광고 12만원 현카
3929118077,2024-11-01,BS,호텔아메니티,293000,Hyun Card (Debit),Gaya,TRUE,1,사무실_아메니티.jpg,2024년11월1일 호텔아메니티 293000원 현카
3942833612,2024-11-09,BS,사무실 세탁세제,18162,Hyun Card (Debit),Gaya,TRUE,1,Screenshot_20241109_133737.jpg,2024년11월9일 사무실 세탁세제 18162원 현카
3952611616,2024-11-14,BS,사무실 비품,23000,Corporate Card,Gaya,TRUE,1,Screenshot_20241114_200429.jpg,2024년 11월14일 사무실 비품 23000원 법카
3975972585,2024-11-28,BS,숙소 의약품,72070,Samsung Card,Gaya,TRUE,1,Screenshot_20241128_125635.jpg,2024년 11월28일 숙소 의약품 72070원 삼카
4007575607,2024-12-16,BS,사무실 선반주문,668700,Samsung Card,Gaya,TRUE,1,YT_스피드렉.jpg,2024년12월16일 사무실 선반주문 668700원 삼카
4010372478,2024-12-18,BS,사무실 웹켐,24600,Corporate Card,Gaya,TRUE,1,Screenshot_20241218_093301.jpg,2024년 12월18일 사무실 웹켐 24600원 법카
4017097214,2024-12-21,BS,중고 휴대폰 3대 구매(숙소 추가 스탭용) -,500000,Cash,Gaya,FALSE,0,,"2024년 12월20일

중고 휴대폰 3대 구매(숙소 추가 스탭용) - 50만원 현금"
4017626653,2024-12-22,YT,YT사무실 세탁기건조기1조,1632600,Hyun Card (Debit),Gaya,TRUE,1,Screenshot_20241222_215022.jpg,2024년12월22일 YT사무실 세탁기건조기1조 1632600원 현카
4017627076,2024-12-22,YT,YT사무실 세탁기건조기2조,1739000,Hyun Card (Debit),Gaya,TRUE,1,Screenshot_20241222_215355_Chrome.jpg,2024년12월22일 YT사무실 세탁기건조기2조 1739000원 현카
4024228631,2024-12-26,BS,,,Not Specified,John Park,TRUE,1,John Park_20241226_165038_1.jpg,
4024229103,2024-12-26,BS,사무실용 간식과 음료,22170,Corporate Card,John Park,FALSE,0,,"2024년 12월26일 사무실용 간식과 음료 22,170원 법인카드"
4024248904,2024-12-26,BS,& John 점심,18800,Corporate Card,John Park,TRUE,1,John Park_20241226_165518_1.jpg,"12월26일 Gaya & John 점심 18,800원 법인카드"
4025576911,2024-12-27,BS,& John 점심,29000,Corporate Card,John Park,TRUE,1,John Park_20241227_131753_1.jpg,"12월27일 Gaya & John 점심 29,000원 법인카드"
4030494167,2024-12-31,BS,& Gaya 점심,26000,Corporate Card,John Park,TRUE,1,John Park_20241231_140818_1.jpg,"12월31일 John & Gaya 점심 26,000원 법인카드"
4033384959,2025-01-02,BS,& Gaya 점심 1월2일,20000,Corporate Card,John Park,TRUE,1,John Park_20250102_163638_1.jpg,"John & Gaya 점심 1월2일 20,000원 법인카드"
4045749920,2025-01-09,BS,& Gaya 점심,22000,Not Specified,John Park,TRUE,1,John Park_20250109_143601_1.jpg,"1월8일 John & Gaya 점심  22,000원"
4051426092,2025-01-13,BS,"1웗13일 Gaya, John, Jin, 조대표님 점심",50000,Corporate Card,John Park,TRUE,1,John Park_20250113_155757_1.jpg,"1웗13일 Gaya, John, Jin, 조대표님 점심 50,000원 법인카드"
4053580383,2025-01-14,BS,& Gaya 점심,24000,Corporate Card,John Park,TRUE,1,John Park_20250114_150659_1.jpg,"1월14일 John & Gaya 점심 24,000원 법인카드"
4054815988,2025-01-15,BS,직원 회식,99000,Corporate Card,John Park,TRUE,1,John Park_20250115_094322_1.jpg,"1월14일 직원 회식 99,000원 법인카드"
4055818769,2025-01-15,BS,사무실 음료 및 간식,23500,Corporate Card,John Park,TRUE,1,John Park_20250115_143657_1.jpg,"1월15일 사무실 음료 및 간식 23,500원 법인카드"
4059655607,2025-01-17,BS,직원 회식,77000,Corporate Card,John Park,TRUE,1,John Park_20250117_102305_1.jpg,"1월16일 직원 회식 77,000원 법인카드"
4060170455,2025-01-17,BS,70000원 업무용 차량 세차 현카,70000,Hyun Card (Debit),Gaya,TRUE,1,camera2228006940889609649.jpg,2025년1월17일 70000원  업무용 차량 세차 현카
4062802099,2025-01-20,BS,아메니티(칫솔) 2000개,160000,Samsung Card,Gaya,TRUE,1,Screenshot_20250120_111123_Chrome.jpg,2025년1월20일 아메니티(칫솔) 2000개 16만원 삼카
4063658489,2025-01-20,BS,& Gaya 점심,21600,Corporate Card,John Park,TRUE,1,John Park_20250120_153021_1.jpg,"1월20일 John & Gaya 점심 21,600원 법인카드"
4065043328,2025-01-21,BS,직원회식,55000,Corporate Card,John Park,TRUE,1,John Park_20250121_104634_1.jpg,"1월20일 직원회식 55,000원 법인카드"
4066222041,2025-01-21,BS,& Gaya 점심비 주차비,18000,Corporate Card,John Park,TRUE,1,John Park_20250121_161940_1.jpg,"1월21일 John & Gaya 점심비 주차비 18,000원 법인카드"
